%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
480600000000,24013,480599000000,,end,joint2,joint4,joint6,motortom2m,-0.116313686845,0.232957517177,0.488713732073,0.197208013923,-0.802342970148,-5.42246291048e-07,-7.1873864357e-07,-1.20372684706e-06,-9.31455445122e-07,-2.3894319813e-07,0.0,0.0,0.0,0.0,0.0
480622000000,24014,480619000000,,end,joint2,joint4,joint6,motortom2m,-0.116703694741,0.233738661711,0.490352368568,0.197869066844,-0.805033838761,-5.42721073507e-07,-7.18225656297e-07,-1.2052502355e-06,-9.32762363886e-07,-2.36647575926e-07,0.0,0.0,0.0,0.0,0.0
480639000000,24015,480639000000,,end,joint2,joint4,joint6,motortom2m,-0.117032509843,0.234397243552,0.491733900661,0.198426399619,-0.807302506256,-5.43942268142e-07,-7.19432446489e-07,-1.20783140199e-06,-9.34826160804e-07,-2.36691140669e-07,0.0,0.0,0.0,0.0,0.0
480659000000,24016,480659000000,,end,joint2,joint4,joint6,motortom2m,-0.117293855338,0.234920690911,0.49283195603,0.19886937322,-0.809105665615,-5.45114217108e-07,-7.20783742416e-07,-1.21019470645e-06,-9.36699762837e-07,-2.37198079187e-07,0.0,0.0,0.0,0.0,0.0
480679000000,24017,480679000000,,end,joint2,joint4,joint6,motortom2m,-0.117483805722,0.235301145559,0.49363004746,0.199191336985,-0.810416237355,4.8555527864e-07,1.34948887707e-06,4.26217479874e-07,2.7460433881e-07,2.260727244e-06,0.0,0.0,0.0,0.0,0.0
480699000000,24018,480699000000,,end,joint2,joint4,joint6,motortom2m,-0.117601704338,0.235537283999,0.494125404021,0.19939117197,-0.811229681606,4.83648506072e-07,1.34590494065e-06,4.22833935392e-07,2.72075673605e-07,2.25681012633e-06,0.0,0.0,0.0,0.0,0.0
480719000000,24019,480719000000,,end,joint2,joint4,joint6,motortom2m,-0.117651070586,0.235636159368,0.49433281863,0.199474846436,-0.811570285188,4.83668994721e-07,1.34607299275e-06,4.22731038669e-07,2.71984551592e-07,2.25718872443e-06,0.0,0.0,0.0,0.0,0.0
480739000000,24020,480739000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.235641336378,0.494343678639,0.199479227543,-0.811588118829,4.8427559537e-07,1.34730889366e-06,4.2369352311e-07,2.72693987736e-07,2.25869131006e-06,0.0,0.0,0.0,0.0,0.0
480759000000,24021,480759000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334321,0.494343677013,0.199479226338,-0.81158812131,-5.4034669074e-07,-7.09751347443e-07,-1.20326926047e-06,-9.31760172665e-07,-2.22328820927e-07,0.0,0.0,0.0,0.0,0.0
480779000000,24022,480779000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334321,0.494343677012,0.199479226338,-0.81158812131,-5.405952255e-07,-7.10249823846e-07,-1.2036636007e-06,-9.32052205839e-07,-2.22929947504e-07,0.0,0.0,0.0,0.0,0.0
480799000000,24023,480799000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656376,0.235641334318,0.49434367701,0.199479226336,-0.811588121314,-5.42236334996e-07,-7.1354272309e-07,-1.20626845399e-06,-9.33980972288e-07,-2.26901049757e-07,0.0,0.0,0.0,0.0,0.0
480820000000,24024,480819000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656377,0.235641334314,0.494343677007,0.199479226334,-0.811588121318,-5.43934729306e-07,-7.16951258032e-07,-1.20896461362e-06,-9.35977206308e-07,-2.31011778172e-07,0.0,0.0,0.0,0.0,0.0
480839000000,24025,480839000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655347,0.235641336383,0.494343678643,0.199479227545,-0.811588118823,4.86487092783e-07,1.35174719183e-06,4.27204180148e-07,2.75293274018e-07,2.2640440036e-06,0.0,0.0,0.0,0.0,0.0
480860000000,24026,480859000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336377,0.494343678639,0.199479227542,-0.81158811883,4.83776588167e-07,1.34630366305e-06,4.22899303982e-07,2.72106709885e-07,2.25747803386e-06,0.0,0.0,0.0,0.0,0.0
480881000000,24027,480879000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336377,0.494343678638,0.199479227542,-0.81158811883,4.83530940705e-07,1.34581233711e-06,4.22510259899e-07,2.71818324556e-07,2.2568859101e-06,0.0,0.0,0.0,0.0,0.0
480900000000,24028,480899000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.235641336378,0.494343678639,0.199479227543,-0.811588118829,4.84070575565e-07,1.34689699668e-06,4.23367825923e-07,2.72452930265e-07,2.25819443955e-06,0.0,0.0,0.0,0.0,0.0
480920000000,24029,480919000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334321,0.494343677012,0.199479226338,-0.811588121311,-5.40760968473e-07,-7.10583265903e-07,-1.20392691268e-06,-9.32247020016e-07,-2.23332503697e-07,0.0,0.0,0.0,0.0,0.0
480940000000,24030,480939000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334322,0.494343677013,0.199479226338,-0.811588121309,-5.40263621724e-07,-7.09584747062e-07,-1.20313742194e-06,-9.31662537713e-07,-2.22127963365e-07,0.0,0.0,0.0,0.0,0.0
480960000000,24031,480959000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656375,0.235641334319,0.49434367701,0.199479226337,-0.811588121313,-5.4170280299e-07,-7.12472068044e-07,-1.20542153922e-06,-9.33353897377e-07,-2.25609853628e-07,0.0,0.0,0.0,0.0,0.0
480979000000,24032,480979000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656377,0.235641334315,0.494343677008,0.199479226335,-0.811588121317,-5.43448652079e-07,-7.15975707019e-07,-1.20819295877e-06,-9.35405880829e-07,-2.29835244781e-07,0.0,0.0,0.0,0.0,0.0
481000000000,24033,480999000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656378,0.235641334312,0.494343677005,0.199479226333,-0.811588121321,-5.44940014802e-07,-7.18968913244e-07,-1.21056055204e-06,-9.37158810978e-07,-2.33445124413e-07,0.0,0.0,0.0,0.0,0.0
481019000000,24034,481019000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.235641336378,0.494343678639,0.199479227543,-0.811588118829,4.84220741778e-07,1.34719478755e-06,4.23604245051e-07,2.72628699165e-07,2.25855267767e-06,0.0,0.0,0.0,0.0,0.0
481039000000,24035,481039000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336377,0.494343678638,0.199479227542,-0.811588118831,4.83471193669e-07,1.34569189532e-06,4.22415119891e-07,2.71747991117e-07,2.25674052103e-06,0.0,0.0,0.0,0.0,0.0
481059000000,24036,481059000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336378,0.494343678639,0.199479227542,-0.81158811883,4.83878485986e-07,1.3465110223e-06,4.23062632512e-07,2.72227059773e-07,2.25772883256e-06,0.0,0.0,0.0,0.0,0.0
481079000000,24037,481079000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.235641336379,0.49434367864,0.199479227543,-0.811588118828,4.84535489442e-07,1.34783099972e-06,4.24106391673e-07,2.72999569452e-07,2.25932109934e-06,0.0,0.0,0.0,0.0,0.0
481099000000,24038,481099000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334322,0.494343677013,0.199479226339,-0.811588121309,-5.40106768516e-07,-7.09270379063e-07,-1.20288865821e-06,-9.3147826749e-07,-2.21748933585e-07,0.0,0.0,0.0,0.0,0.0
481120000000,24039,481119000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656375,0.23564133432,0.494343677011,0.199479226337,-0.811588121312,-5.41191674879e-07,-7.1144645377e-07,-1.20461023295e-06,-9.32753171182e-07,-2.24372996754e-07,0.0,0.0,0.0,0.0,0.0
